annotator_id,accuracy,leniency,strictness
7350,0.9928602736765866,0.333602659024896,0.3319753323760468
3520,0.9928602736765866,0.333602659024896,0.3319753323760468
4090,0.992326272001273,0.33224408851221504,0.33551182254814216
1671,0.992326272001273,0.33224408851221504,0.33551182254814216
4656,0.992326272001273,0.33224408851221504,0.33551182254814216
8363,0.9921064742798752,0.3323539877669489,0.3352920246269635
4755,0.9921064742798752,0.3323539877669489,0.3352920246269635
10077,0.9910949506113695,0.33579812877600923,0.3361271390918381
9259,0.9907666372016758,0.335468679656286,0.33629158392748554
3846,0.9900018924083255,0.3350320510709199,0.3363443215488214
10223,0.9896730265288749,0.3351964905281628,0.33601542997910006
10042,0.9892949850293249,0.32897695551992245,0.3372633579148678
2860,0.9891270406254143,0.3354694699952851,0.3354694958481516
2456,0.9891270406254143,0.3354694699952851,0.3354694958481516
7501,0.9885891759831319,0.32933000738604495,0.3365573557681016
10874,0.9885890992508303,0.32932993112245046,0.3365573575117293
2158,0.9880432158065827,0.334385617048836,0.3360113953973032
3830,0.9880432157095741,0.3296029875435495,0.3360113954346284
1147,0.9880426299781314,0.3343862015433255,0.33601139222841625
10002,0.9880216106121966,0.3360328785575859,0.3343854144781409
10063,0.9878268059254527,0.33442520199830456,0.32947650904218123
2098,0.9869593630374448,0.3301449132965711,0.33492754321542656
10352,0.9869593630374448,0.3301449132965711,0.33492754321542656
5034,0.9869593369502367,0.334927543421736,0.33492756928928474
415,0.9857296345463228,0.3307597773334268,0.3384804445074001
351,0.9857296201027458,0.33075977818178987,0.3384804588115174
7222,0.9857296201027458,0.33075977818178987,0.3384804588115174
84,0.9854007562591595,0.33092421726257976,0.33815156564669296
7383,0.9854007544126215,0.33092421765244834,0.33815156704988253
862,0.9854007519632852,0.33092421282456835,0.338151567896591
3116,0.9854007514126916,0.3309242140266063,0.3381515678969505
1873,0.9854007514126916,0.3309242140266063,0.3381515678969505
2712,0.9854007514126916,0.3309242140266063,0.3381515678969505
5809,0.9854007514126916,0.3309242140266063,0.3381515678969505
9117,0.9848547947767523,0.3376056062059845,0.3311971977548054
