annotator_id,accuracy,leniency,strictness
worker_171,0.9992529308039748,0.5004252391926184,0.4995747608073816
worker_13,0.9984972203524607,0.5006356442109703,0.4993643557890297
worker_85,0.998463314463915,0.5004151672999667,0.4995848327000333
worker_160,0.9979878987990138,0.501179926735371,0.49882007326462896
worker_155,0.9978885202325737,0.5013412243111114,0.4986587756888886
worker_82,0.9974979278156684,0.499494936225255,0.500505063774745
worker_158,0.9974144487352476,0.49990398917431417,0.5000960108256859
worker_54,0.9972191027171348,0.5011473369493942,0.49885266305060577
worker_73,0.9972167864644932,0.5002852393349951,0.4997147606650049
worker_74,0.9957351706922266,0.5006903328950852,0.49930966710491476
worker_72,0.9956270167235666,0.5005847088328533,0.4994152911671466
worker_9,0.9956190565411025,0.5027456079031678,0.4972543920968322
worker_116,0.9946614923608512,0.5023258935711763,0.49767410642882376
worker_163,0.9943310951753994,0.5044219743749977,0.4955780256250022
worker_19,0.9942506906112519,0.5040858606407467,0.49591413935925327
worker_15,0.9941145429958562,0.5039441371675083,0.4960558628324916
worker_44,0.9934370138345001,0.5032511175290462,0.49674888247095383
worker_47,0.9934319933714251,0.5032453806896224,0.4967546193103776
worker_106,0.9929644172984786,0.5057882111514216,0.4942117888485785
worker_98,0.9926157325498973,0.502433723231074,0.4975662767689259
worker_148,0.9926026990326744,0.5024135008217875,0.4975864991782125
worker_128,0.9925733280514646,0.4975721732568332,0.5024278267431669
worker_112,0.992555015328794,0.502363338505899,0.49763666149410096
worker_161,0.9925458187293372,0.502489584649373,0.49751041535062707
worker_133,0.9924662595658038,0.5025669744236356,0.4974330255763644
worker_53,0.9923080191871592,0.5043757397290636,0.4956242602709364
worker_143,0.9922298940413505,0.5028169587094797,0.4971830412905203
worker_127,0.9915633523047958,0.49761650038937727,0.5023834996106227
worker_36,0.991463080931023,0.49239430728064415,0.5076056927193558
worker_175,0.991462150723085,0.5071905280069842,0.49280947199301584
worker_5,0.9902392665427457,0.5080186882103019,0.4919813117896982
worker_115,0.9900135695611405,0.49513427322382425,0.5048657267761758
worker_48,0.9889193321454193,0.509394684122574,0.490605315877426
worker_138,0.9873483786428683,0.49737390166697926,0.5026260983330207
worker_46,0.9872221813711415,0.504227245628838,0.4957727543711619
worker_99,0.9833055569528484,0.5115727709168769,0.4884272290831231
worker_147,0.9790457681776843,0.4809347276528624,0.5190652723471376
worker_39,0.9750947230682319,0.47772725991118264,0.5222727400888174
worker_28,0.9739602285029398,0.47561440749393996,0.52438559250606
worker_125,0.9729998695001225,0.478064189117184,0.5219358108828159
worker_119,0.9699821378218882,0.5173331727350978,0.48266682726490223
worker_35,0.969214599104741,0.4723052234976682,0.5276947765023318
worker_27,0.9660181073902547,0.5326600032244428,0.4673399967755571
worker_25,0.9614650972335836,0.4633739196829436,0.5366260803170564
worker_61,0.9544763256174927,0.46976825234066233,0.5302317476593377
worker_11,0.9539294949752518,0.45899991507365545,0.5410000849263445
worker_141,0.9498961153848533,0.45396606491913544,0.5460339350808646
worker_1,0.9471289855676818,0.5154158447325734,0.48458415526742654
worker_40,0.9449855926236193,0.45053579402512167,0.5494642059748784
worker_104,0.940151900479939,0.5579720764996184,0.4420279235003816
worker_49,0.9327890089188158,0.5650243532172423,0.4349756467827577
worker_16,0.9264578996004008,0.4296481920416913,0.5703518079583088
worker_62,0.9247548266330105,0.4294525721651249,0.5705474278348751
worker_34,0.9151195323479544,0.4256554267976656,0.5743445732023343
worker_146,0.9091779848277987,0.5901608303538761,0.4098391696461239
worker_157,0.9017330804694738,0.5969962097523357,0.4030037902476643
worker_151,0.8878586098202974,0.500589135722629,0.49941086427737097
worker_32,0.8866376300863419,0.4696787024054078,0.5303212975945922
worker_42,0.8834182018362985,0.39067350592416894,0.6093264940758311
worker_14,0.8789793604049089,0.3848075475373175,0.6151924524626825
worker_6,0.8782258460291562,0.3787337371767156,0.6212662628232845
worker_100,0.8766361893713254,0.386716674973695,0.613283325026305
worker_77,0.8738262409892898,0.3803699182578246,0.6196300817421754
worker_63,0.8722485136515953,0.37568750839121456,0.6243124916087854
worker_4,0.8713684788012352,0.46536320812617465,0.5346367918738254
worker_51,0.8682156723304535,0.37816340745578053,0.6218365925442195
worker_55,0.8669346919311671,0.3679569277138603,0.6320430722861397
worker_70,0.8661468875704148,0.5810218810491707,0.41897811895082926
worker_50,0.8621711497214963,0.5561258333889167,0.4438741666110832
worker_83,0.8592573032835762,0.3655046280761727,0.6344953719238273
worker_66,0.8553159702681836,0.3570306838380888,0.6429693161619112
worker_102,0.8544623498979221,0.5936175140322415,0.40638248596775856
worker_37,0.8532317943746046,0.3555372836157365,0.6444627163842634
worker_31,0.8530325613432842,0.6441256507079881,0.3558743492920119
worker_84,0.8512138114066877,0.648130738246928,0.351869261753072
worker_101,0.8510440158847639,0.3681486390855871,0.631851360914413
worker_145,0.8484676005690575,0.5918023772438958,0.4081976227561042
worker_67,0.8446982191975494,0.6510406644120452,0.34895933558795483
worker_87,0.8442024848046024,0.48325041477808095,0.516749585221919
worker_8,0.8426207734413771,0.4678830078338695,0.5321169921661305
worker_10,0.8275197244333709,0.5440947992000742,0.4559052007999258
worker_20,0.8274383739560491,0.43381584357677117,0.5661841564232288
worker_137,0.827324209005212,0.4921068469184773,0.5078931530815227
worker_3,0.8109327363675383,0.37709939799570147,0.6229006020042985
worker_38,0.810010341082602,0.5091154209479725,0.49088457905202754
worker_22,0.8097023865529291,0.4903871204640994,0.5096128795359006
worker_60,0.8020739158407839,0.6966222290158631,0.3033777709841368
worker_0,0.801363737389365,0.6856673995911522,0.31433260040884786
worker_26,0.7969988828184063,0.3762248049503363,0.6237751950496637
worker_17,0.7921012487516468,0.5946825817239406,0.4053174182760593
worker_52,0.7888463362556778,0.6947404771322637,0.3052595228677363
worker_156,0.784184809251139,0.6638828351571597,0.33611716484284027
worker_57,0.7818364368151216,0.7171880991730859,0.2828119008269141
worker_80,0.7772630276926762,0.694577813064826,0.305422186935174
worker_18,0.7702508053366368,0.7245692376054346,0.2754307623945655
worker_121,0.766385980999262,0.7299806883676604,0.2700193116323396
worker_56,0.7662449903984203,0.6957886781911427,0.3042113218088574
worker_71,0.7595393902720455,0.37367859487672644,0.6263214051232735
worker_12,0.7564106627091283,0.3692424252698796,0.6307575747301204
worker_93,0.7506994762908434,0.7473058138562361,0.25269418614376404
worker_152,0.7485671971451794,0.7489452313016014,0.2510547686983987
worker_168,0.7483233279717322,0.74836541190426,0.2516345880957399
worker_164,0.7469875376815455,0.7497010843765954,0.2502989156234044
worker_132,0.7468010523983282,0.7498875531102116,0.25011244688978845
worker_114,0.7414995691601772,0.7483197944886852,0.2516802055113149
worker_68,0.7389706626919071,0.7570167412172513,0.2429832587827486
worker_176,0.7365263396473273,0.7601613137107124,0.23983868628928756
worker_2,0.7349383294976548,0.5611507032827376,0.4388492967172624
worker_86,0.7342202426148329,0.7624671855616278,0.23753281443837213
worker_75,0.7314015127022252,0.7671079454714911,0.23289205452850903
worker_58,0.7287274232613461,0.40350349891171444,0.5964965010882856
worker_88,0.7257855887616969,0.3992253234719053,0.6007746765280948
worker_76,0.7145778274154677,0.2278078394184365,0.7721921605815634
worker_173,0.6977665011877704,0.7996259773650802,0.20037402263491966
worker_153,0.6973032902797403,0.7018200021830301,0.2981799978169698
worker_120,0.691762636975322,0.7660537904150521,0.23394620958494797
worker_165,0.675606570330767,0.8212511416528431,0.17874885834715687
worker_41,0.6749891060179614,0.8223146039484457,0.17768539605155428
worker_65,0.670130912870886,0.8291596949705706,0.17084030502942948
worker_30,0.662483778626475,0.5186166061947581,0.48138339380524187
worker_94,0.6617964542392273,0.837278070635372,0.162721929364628
worker_142,0.6456772274857001,0.5217799051222773,0.47822009487772266
worker_149,0.6456772274857001,0.5217799051222773,0.47822009487772266
worker_33,0.6291041659947332,0.8703791175792044,0.12962088242079564
worker_43,0.6116778137673833,0.88699505734862,0.11300494265138006
worker_64,0.599265077896827,0.8982288183179423,0.10177118168205782
worker_21,0.5948841039984216,0.2969711413668434,0.7030288586331567
worker_23,0.5925261928538796,0.9049654568084042,0.09503454319159574
worker_111,0.5827776318232198,0.5828395346187578,0.4171604653812422
worker_154,0.5827707608286057,0.5829421479673613,0.4170578520326388
worker_166,0.569729110770322,0.8181387358819701,0.18186126411802994
worker_126,0.5653072582735449,0.345032037665147,0.654967962334853
worker_7,0.5441383898333485,0.7008876635575456,0.29911233644245433
worker_162,0.5399228392776715,0.9566523968897929,0.04334760311020716
worker_81,0.5378248696727773,0.9601389997862658,0.03986100021373414
worker_144,0.5344727322989546,0.9620812047908953,0.03791879520910468
worker_91,0.5320721065349724,0.9644701687695443,0.035529831230455694
worker_118,0.5313176063969282,0.9652206373424692,0.034779362657530725
worker_130,0.5308037031135195,0.0342683174751748,0.9657316825248252
worker_78,0.5294408263015541,0.9670865007548128,0.03291349924518717
worker_124,0.5212994110710117,0.9751585995088646,0.024841400491135434
worker_45,0.5152748085639067,0.579136348550839,0.4208636514491611
worker_129,0.5092126716851018,0.9869281975185864,0.013071802481413663
worker_174,0.5081630626535223,0.9889946620774779,0.011005337922522208
worker_134,0.5074102737917584,0.9886029499339146,0.011397050066085377
worker_29,0.5064832677111025,0.009414960092475833,0.9905850399075242
worker_122,0.50512175902591,0.990623404447566,0.009376595552434017
worker_105,0.5050688555640225,0.9906678502655586,0.00933214973444149
worker_95,0.5050688555640225,0.9906678502655586,0.00933214973444149
worker_135,0.5050688555640224,0.9906678502655585,0.009332149734441492
worker_136,0.5050688555640224,0.9906678502655585,0.009332149734441492
worker_139,0.504948325961129,0.9907685933864561,0.009231406613544008
worker_159,0.5043869725046275,0.9943695159236399,0.0056304840763602
worker_59,0.5037659226714796,0.991710245255021,0.008289754744978828
worker_92,0.50311767595878,0.9948143551059905,0.0051856448940095865
worker_69,0.5026596861083678,0.9955643139027825,0.0044356860972174575
worker_109,0.5025060028012645,0.9925752286047342,0.007424771395265779
worker_170,0.5024340300776708,0.9926184437728633,0.007381556227136567
worker_140,0.5024272112590445,0.9926224960302916,0.007377503969708267
worker_113,0.5020848171938413,0.9928160302186223,0.00718396978137769
worker_107,0.5015664702071417,0.00693288774645714,0.9930671122535428
worker_103,0.5005205578283468,0.006619881703022449,0.9933801182969776
worker_108,0.5005205578283468,0.006619881703022449,0.9933801182969776
worker_110,0.5003048266956327,0.9934069590872494,0.006593040912750608
worker_79,0.4979037037498255,0.5001981872762897,0.4998018127237104
worker_169,0.4523790351399635,0.9300325730953476,0.06996742690465231
worker_131,0.44986583049781304,0.3629110028774942,0.6370889971225059
worker_172,0.4176456720545579,0.5872438234940629,0.4127561765059372
worker_24,0.25797327579981055,0.2518330364254382,0.7481669635745618
